Inep,Logradouro,Numero,Bairro,Cep
43189032,RUA 4                                             ,62,MORRO SANTANA       ,91450430
43185355,R GEN SALVADOR PINHEIRO                           ,799,VILA JARDIM         ,91320240
43185070,R OITO VILA MATO SAMPAIO                          ,32,BOM JESUS           ,91420591
43185100,R JOSE MADRID                                     ,985,JARDIM CARVALHO     ,91430580
43190014,RUA 05 V. LARANJEIRAS                             ,174,MORRO SANTANA       ,91310001
43185045,TRAV. CEL ANTONIO CARNEIRO PINTO                  ,195,PETRÓPOLIS          ,90460020
43185517,R JACINTO GOMES                                   ,683,SANTANA             ,90040270
43189067,R ALMIRANTE ALVARO A DA MOTTA E SILVA             ,200,MENINO DEUS         ,90160130
43187609,AV AZENHA                                         ,366,AZENHA              ,90160004
43190120,R BOM JESUS                                       ,610,BOM JESUS           ,91420030
43190707,AV MARTIM FELIX BERTA                             ,2575,RUBEM BERTA         ,91270650
0,R ARMANDO PEDRO DA ROZA                           ,170,PITINGA             ,91790000
43108865,R SAO MANOEL                                      ,1909,RIO BRANCO          ,90620110
43184979,R JOSE MADRID                                     ,736,JARDIM CARVALHO     ,91430580
43190391,AV IPIRANGA                                       ,5229,PRAIA DE BELAS      ,90160092
43185088,R TANAUI DA SILVA BOEIRA                          ,209,LOMBA DO PINHEIRO   ,91570440
43190049,RUA PADRE ROQUE GONZALES                          ,315,LOMBA DO PINHEIRO   ,91570170
43185312,RUA RIO NEGRO - LOMBA DO PINHEIRO                 ,59,LOMBA DO PINHEIRO   ,91570330
43183069,R SÃO MARCOS - LOMBA DO PINHEIRO                  ,150,LOMBA DO PINHEIRO   ,91570380
43185207,RUA DONA FIRMINA                                  ,1583,VILA JOÃO PESSOA    ,91520210
43185606,LG PAINEIRAS                                      ,477,VILA JOÃO PESSOA    ,91510070
43187854,RUA D                                             ,200,PARTENON            ,91510480
43185649,RUA SÃO JOSÉ VILA SÃO JOSÉ COMUNITÁRIA            ,29,VILA SÃO JOSÉ       ,91520470
43185592,RUA VIDAL DE NEGREIROS                            ,996,VILA SÃO JOSÉ       ,91520480
43190308,TRAVESSA SÃO JOÃO                                 ,57,VILA SÃO JOSÉ       ,91520560
43185436,RUA MIGUEL OLVICTO DOS SANTOS                     ,71,LOMBA DO PINHEIRO   ,91550280
43185614,R SANTA CATARINA ESTR JOÃO DE O REMIÃO            ,30,LOMBA DO PINHEIRO   ,91560000
43185479,R ABACATEIRO                                      ,195,LOMBA DO PINHEIRO   ,91560480
43187382,ESTR JOÃO DE OLIVEIRA REMIÃO                      ,6269,LOMBA DO PINHEIRO   ,91130540
43187781,R GUAIBA-LOMBA DO PINHEIRO                        ,95,LOMBA DO PINHEIRO   ,91560640
43187137,R ERNESTO LISCANO                                 ,195,AGRONOMIA           ,91540310
43187838,TRAV A VILA NOSSA SENHORA DA GLORIA               ,252,CASCATA             ,91710151
43190189,AV PROF OSCAR PEREIRA                             ,4443,AZENHA              ,90640070
43185185,R NOSSA SENHORA DO BRASIL-SANTA TERESA            ,83,SANTA TEREZA        ,90850510
43185053,ESTR BARCELLOS                                    ,2268,CASCATA             ,91712300
43190219,R CANUDOS                                         ,625,CASCATA             ,91712340
43185282,R CAIXA ECONOMICA                                 ,633,SANTA TEREZA        ,90840610
43190405,RUA OCTAVIO DE SOUZA                              ,1818,TERESÓPOLIS         ,90840350
43190537,RUA OSMAR SANTOS FREITAS                          ,40,SANTA TEREZA        ,90840405
43187811,R DONA OTILIA                                     ,927,SANTA TEREZA        ,90830580
43190570,R URSA MAIOR                                      ,215,CRISTAL             ,90820200
43190553,R EUCLIDES DE ALMEIDA                             ,20,SANTA TEREZA        ,90840640
43190669,R PADRE NOBREGA                                   ,280,SANTA TEREZA        ,90830640
43190146,AV CAI                                            ,1039,CRISTAL             ,90810120
43190626,R OCTAVIO DE SOUZA                                ,1237,NONOAI              ,90840350
43190502,AV ARROIO DOS PADRES                              ,130,VILA NOVA           ,91712390
43185096,R CAIXA ECONOMICA                                 ,320,SANTA TEREZA        ,90840610
43188206,R CEL TIMOTEO                                     ,350,CAMAQUÃ             ,91910680
43190081,RUA ADÃO ARAUJO                                   ,81,CORONEL APARÍCIO BOR,91710560
43190634,ESTR BATILLANAS                                   ,1005,CASCATA             ,91712310
43185118,R ARAPEI                                          ,103,CRISTAL             ,90830470
43188540,BC UM RUA CEL TIMOTEO                             ,465,CAVALHADA           ,91910000
43188036,ESTR COSTA GAMA                                   ,719,BELÉM VELHO         ,91787311
43185444,VILA ORFANOTROFIO II                              ,54,NONOAI              ,90840440
43185215,R OCIDENTE                                        ,125,CASCATA             ,91710390
43187803,BC FLORES VILA TRONCO II                          ,346,SANTA TEREZA        ,90843462
43188079,R ERECHIM                                         ,1280,NONOAI              ,90830000
43185452,R DEPUTADO CUNHA BUENO                            ,21,VILA NOVA           ,91751270
43187765,R DORIVAL CASTILHO MACHADO                        ,20,HIPICA              ,91755210
43184987,R AUGUSTO COMTE                                   ,80,CAVALHADA           ,91910370
43187943,R EMILIA PERRONI FERNANDES                        ,100,CAMAQUA             ,91910295
43185258,RUA  MORRO ALTO                                   ,485,ABERTA DOS MORROS   ,91751650
43185347,R PAULO MACIEL                                    ,89,VILA NOVA           ,91751350
43201377,R DONA PAULINA                                    ,700,TRISTEZA            ,91920030
43185240,RUA NOVA IPANEMA                                  ,34,HÍPICA              ,91755200
43185223,R DR JULIO TEIXEIRA                               ,201,VILA NOVA           ,91751290
43189083,R ROBERTO FELIX BERTOI                            ,25,CAMAQUÃ             ,91910540
43185142,PCA NOSSA SENHORA DE BELEM                        ,119,BELEM VELHO         ,91712240
43185134,R MISSISSIPI                                      ,30,RESTINGA            ,91790430
43188460,R MANOEL FARIA DA ROSA PRIMO                      ,779,RESTINGA            ,91790770
43190529,R TOBAGO                                          ,570,RESTINGA            ,91790530
43185584,R TOBAGO                                          ,1258,RESTINGA            ,91790530
43185533,ESTR BARRO VERMELHO                               ,542,RESTINGA            ,91790100
43188125,RUA ALAMEDA D                                     ,84,RESTINGA            ,91790610
43188745,AV JUCA BATISTA                                   ,6841,IPANEMA             ,91770001
43188150,R JOSE DE ABREU FRAGA                             ,52,RESTINGA            ,91790095
43190430,AV LUIZ FRANCISCO ZANELLA                         ,1001,RESTINGA            ,91790800
43190677,R DOMINGOS DE ABREU                               ,290,SARANDI             ,91120090
43188311,AV GUAIBA                                         ,3955,CRISTAL             ,91900420
43190723,R MENEZES PAREDES                                 ,425,NONOAI              ,90830070
43190561,R JOSE LUIZ MARTINS COSTA                         ,1001,MARIO QUINTANA      ,91250330
43190545,R HONDURAS                                        ,19,BELEM VELHO         ,91787302
43190375,AV PROF OSCAR PEREIRA                             ,7788,BELÉM VELHO         ,91712320
43191878,AV ADELINO FERREIRA JARDIM                        ,280,RUBEM BERTA         ,91250310
43200915,R JARY                                            ,0,PASSO DA AREIA      ,91350170
43188214,AV TRAMANDAI                                      ,395,IPANEMA             ,91760050
43190170,ESTR SAO FRANCISCO                                ,1172,LOMBA PINHEIRO      ,91550250
43204635,RUA DRA VERA GLUSMAN KNIJNIK                      ,40,VILA CONCEIÇÃO      ,91920073
43204660,R MONSENHOR RUBEN NEIS                            ,731,CAVALHADA           ,91920000
43201270,BC VITORIA                                        ,1460,LAGEADO             ,91787220
43185029,R DEMETRIO RIBEIRO                                ,594,CENTRO HISTORIC     ,90010312
43204651,R DONA MARIA                                      ,50,SANTA TEREZA        ,90850280
43201237,R CRISTAL DA PAZ                                  ,180,MARIO QUINTANA      ,91270844
43206220,RUA 7153                                          ,100,RESTINGA            ,90001970
43201288,R MARIA TRINDADE                                  ,115,FARRAPOS            ,90250275
43201156,AV PRESIDENTE FRANKLIN ROOSEVELT                  ,910,SAO GERALDO         ,90230002
43188222,ACESSO O                                          ,2051,RESTINGA            ,91792260
43191894,R ENG OSCAR DE OLIVEIRA RAMOS                     ,1411,RESTINGA            ,91790050
43208312,R SEISCENTOS NOVENTA OITO                         ,104,FARRAPOS            ,90250596
43208185,RUA B AFRICA DO SUL                               ,7,BELÉM VELHO         ,91787351
43207715,RUA AMERICANA                                     ,90,BELÉM VELHO         ,91787380
43207707, RUA TABAJARAS                                    ,105,CASCATA             ,91712310
43211399,R MONSENHOR SEVERINO BRUN                         ,65,FARRAPOS            ,90245308
43211100,RUA JOAO PARIS                                    ,1107,SARANDI             ,91160440
43211453,RUA C                                             ,4,RESTINGA            ,91790110
43211119,R VEREADOR ELOY MARTINS                           ,103,FARRAPOS            ,90250264
43209254,AV IRMAO FAUSTINO JOAO                            ,59,RUBEM BERTA         ,91250690
43190790,R SEZEFREDO IGNACIO DE OLIVEIRA                   ,895,PASSO DAS PEDRA     ,91230440
43211135,BC ALEGRIA                                        ,141,RUBEM BERTA         ,91170591
43211330,AV JOAO PESSOA                                    ,2301,AZENHA              ,90040001
43211216,R HORTENCIO MACHADO DE LIMA                       ,48,RESTINGA            ,91790620
43240615,R EMILIA PERRONI FERNANDES                        ,100,CAMAQUÃ             ,91910295
43280005,R GARCA-MOURA                                     ,100,FLORESTA            ,90220330
43240208,R VIOLETA PARQUE DAS ORQUIDEAS                    ,2,MARIO QUINTANA      ,91260396
43281001,TRAV COSME E DAMIAO                               ,84,PARTENON            ,90680247
43240011,R SALOMAO DUBIN                                   ,11,BOA VISTA           ,91340450
43240607,R VIUVINHA                                        ,275,JARDIM CARVALHO     ,91430817
43282008,R GERALDINA BATISTA                               ,115,RUBEM BERTA         ,91150095
43240429,R DONA TEODORA                                    ,984,FARRAPOS            ,90240300
43283004,R JACQUES YVES COSTEAU                            ,565,RESTINGA            ,91790425
43201296,R DEODORO                                         ,250,MARIO QUINTANA      ,91260370
43187846,RUA IRMAOS MARISTAS                               ,1,MARIO QUINTANA      ,91250254
43206239,R CRUZEIRO DO SUL                                 ,2873,SANTA TEREZA        ,90840000
43282016,R ARAPEI                                          ,551,CRISTAL             ,90830470
43240402,ESTRADA CRISTIANO KRAEMER                         ,541,VILA NOVA           ,91750060
43284000,RUA  COLINA                                       ,150,VILA NOVA           ,91750000
43211356,AV DR JOAO DENTICE                                ,779,RESTINGA            ,91790090
43207723,ACESSO A                                          ,3036,RESTINGA            ,91793020
43260004,R TOBAGO                                          ,1260,RESTINGA            ,91790530
43254403,AV JOAQUIM PORTO VILLANOVA                        ,136,JARDIM CARVALHO     ,91410400
43254209,RUA MILTON SALES SILVEIRA                         ,37,CORONEL APARÍCIO BOR,91530660
43259014,RUA BERNARDI                                      ,61,CRISTO REDENTOR     ,91040030
43211666,R VINTE SETE VILA MATO SAMPAIO                    ,125,BOM JESUS           ,91420634
43254624,AV MOAB CALDAS ACESSO 6                           ,20,SANTA TEREZA        ,90880310
43240410,AV IPIRANGA                                       ,3780,PRAIA DE BELAS      ,90160090
43259006,R PEDRO BOTICARIO                                 ,336,PARTENON            ,90660070
43295274,R PRIMAVERA                                       ,50,SARANDI             ,91140290
43300170,ESTR ARACAJU                                      ,453,VILA NOVA           ,91740320
43211062,R ORFANOTROFIO                                    ,336,TERESOPOLIS         ,90840440
43296181,R MANOEL FERRADOR                                 ,405,PASSO DAS PEDRAS    ,91230370
43295282,R BONIFACIO CALDERON                              ,45,PASSO DAS PEDRAS    ,91230170
43299199,DIRETRIZ 3729                                     ,116,PARTENON            ,91520650
43206247,R INFANCIA                                        ,302,RUBEM BERTA         ,91170715
43298206,R ALBERTO SEHBE SIMON                             ,74,RUBEM BERTA         ,91160595
43300146,R JAIME LINO DOS SANTOS FILHO                     ,604,LOMBA DO PINHEIRO   ,91550610
43298150,R B VILA BECO DOS HERDEIROS                       ,61,AGRONOMIA           ,91540030
43185290,AV POLONIA                                        ,625,SÃO GERALDO         ,90230110
43211348,R VIDAL BARBOSA                                   ,1075,SARANDI             ,91120340
43299148,AV ENG ARY DE ABREU LIMA                          ,390,VILA IPIRANGA       ,91360070
43297110,R ANTONIO JOSE DE SANTANA                         ,899,AGRONOMIA           ,91540180
43300081,RUA JOSÉ INÁCIO DA SILVA                          ,441,BELÉM NOVO          ,91780240
43296190,R SARGENTO MANOEL ARRUDA                          ,405,JARDIM CARVALHO     ,91430220
43300120,RESTINGA 4 UNIDADE ACESSO 6                       ,4628,RESTINGA            ,91795100
43298133,R FELISBERTO MAIA                                 ,190,MARIO QUINTANA      ,91260371
43296130,BC CARLOS SUPERTI                                 ,300,VILA NOVA           ,91750020
43108580,RUA FELIPE NERI                                   ,78,AUXILIADORA         ,90440150
43285007,AV ECON NILO WULFF                                ,919,RESTINGA            ,91790000
43367330,BECO DO GUARÁ                                     ,59,GUARUJÁ             ,91770012
43367348,RUA OLRLANDO AITA                                 ,2,JARDIM LEOPOLDINA   ,91240030
43367356,R PESCADOR                                        ,400,ARQUIPÉLAGO         ,90090170
43367364,RUA ITAPUA                                        ,94,MARIO QUINTANA      ,91270325
43367372,R PRISMA                                          ,64,SANTA TEREZA        ,90840130
43367380,R ANA JULIA                                       ,176,LOMBA DO PINHEIRO   ,91550000
43210457,AV MOAB CALDAS                                    ,33,SANTA TEREZA        ,90880310
43209041,R DR ANTONIO MAZZAFERRO NETO                      ,443,ABERTA DOS MORROS   ,91787196
43361404,R RAUL CAUDURO                                    ,297,MARIO QUINTANA      ,91270580
43241204,R NOVA OLINDA                                     ,203,LAMI                ,91787640
43185231,R SANTANA                                         ,1225,FARROUPILHA         ,90040372
43187870,R MARCIANO RIBEIRO                                ,83,MEDIANEIRA          ,90870360
43004822,R PARLAMENTO                                      ,215,MORRO SANTANA       ,91450370
43004849,R GRACIANO CAMOZZATO                              ,0,FARRAPOS            ,90250390
43004610,R MARIA PAULA LEAL                                ,200,FARRAPOS            ,90250617
43004369,AV A J RENNER                                     ,773,HUMAITÁ             ,90245000
43004830,R DR MEER MARIO KAUFMANN                          ,336,STA ROSA LIMA       ,91160270
43004350,R PAULINO AZURENHA                                ,445,PARTENON            ,90680240
43004342,RUA DA COMUNIDADE                                 ,16,LOMBA DO PINHEIRO   ,91560550
43006817,R STEFAN HERMANN                                  ,4,PONTA GROSSA        ,91780598
43379060,AV BERNARDINO SILVEIRA PASTORIZA                  ,641,RUBEM BERTA         ,91160310
43203159,R JOSE DO PATROCINIO                              ,920,CIDADE BAIXA        ,90050002
43206255,R LIBERAL                                         ,3187,CAVALHADA           ,91920682
43367429,R DOMINGOS JOSE POLI                              ,331,RESTINGA            ,91790072
43004334,AV ECON NILO WULFF                                ,929,RESTINGA            ,91790000
43004318,AV ENG LUDOLFO BOEHL                              ,1402,CASCATA             ,91720150
43295290,RUA BECO DOS MARIANOS                             ,164,AGRONOMIA           ,91540605
43006825,RUA PEDRO RAIMUNDO                                ,179,CHAPÉU DO SOL       ,91787029
43006833,ESTR CRISTIANO KRAEMER                            ,1078,VILA NOVA           ,91750062
43006841,R PRISMA                                          ,203,SANTA TEREZA        ,90840130
43185622,AV VENANCIO AIRES                                 ,1030,FARROUPILHA         ,90040192
43201270,BC VITORIA                                        ,1460,LAGEADO             ,91787220
43008666,R MILLO RAFFIN                                    ,79,MARIO QUINTANA      ,91240475
43009166,R SARGENTO SILVIO DELMAR HOLLENBACH               ,698,RUBEM BERTA         ,91240120
43008690,R CEL CLAUDINO                                    ,80,CRISTAL             ,91910670
43009115,AC CIRIO AMARAL DE OLIVEIRA                       ,403,RESTINGA            ,91790260
43009280,R BARAO DE BAGE                                   ,317,VILA JARDIM         ,91330570
43047670,BR 290                                            ,98,ARQUIPÉLAGO         ,90090004
43362540,AV VINTE UM DE ABRIL                              ,441,SARANDI             ,91120630
43048170,R DEZIDERIO SEVERINO                              ,431,PASSO DAS PEDRAS    ,91230250
43089178,R CAPITAO PEDROSO                                 ,540,RESTINGA            ,91790790
43142478,AV DR JOAO DENTICE                                ,1045,RESTINGA            ,91790090
43089283,R ELZIRA NUNES DA SILVA                           ,100,RESTINGA            ,91788712
43051510,R WALTHER SCHNEIDER                               ,224,RESTINGA            ,91790402
43089160,R ARGEMIRO OGANDO CORREA                          ,350,SERRARIA            ,91770810
43046088,ACESSO F                                          ,2492,RESTINGA            ,91793695
43044999,R COLISEU                                         ,893,RESTINGA            ,91790280
43089194,RUA E                                             ,115,LAMI                ,91787516
43089216,ACB(SQ 6 -3 UNIDADE VICINAL)                      ,3728,RESTINGA            ,91793440
43142672,R BEZERRA DE MENEZES                              ,410,PASSO DA AREIA      ,91350130
0,R EUSTAQUIO INACIO DA SILVEIRA                    ,290,BELEM NOVO          ,91780110
43142362,RUA 2A ESTRADA OTAVIANO JOSE PINTO                ,21,LAMI                ,91787564
43162274,R ATTILIO BILIBIO                                 ,261,JARDIM CARVALHO     ,91530008
