Inep,Latitude,Longitude
43185452,-30.1292391,-51.2168936
43187765,0.0,0.0
43184987,0.0,0.0
43187943,0.0,0.0
43185258,-30.1366918,-51.2110045
43185347,-30.1293154,-51.2146216
43201377,-30.1175854,-51.246815
43185240,-30.1532525,-51.2013379
43185223,-30.1310985,-51.2152177
43189083,-30.1012431,-51.2423268
43185142,0.0,0.0
43185134,0.0,0.0
43188460,-30.1598602,-51.1402469
43190529,-30.1589231,-51.1439202
43185584,-30.155906,-51.1372846
43185533,-30.1628744,-51.1454685
43188125,-30.1549846,-51.136894
43188745,-30.1747344,-51.17665
43188150,-30.1667164,-51.1462713
43190430,-30.1620111,-51.1365418
43190677,-29.988703,-51.1347265
43188311,-30.0991831,-51.26444497
43190723,-30.0884957,-51.2242941
43190561,-30.0268234,-51.0983652
43190545,-30.1124293,-51.1529632
43190375,-30.104008,-51.1724752
43191878,-30.0209878,-51.1045111
43200915,-30.0129724,-51.1697539
43188214,-30.1342703,-51.2298776
43190170,0.0,0.0
43204635,-30.1209063,-51.2536194
43204660,-30.1171493,-51.2310059
43201270,0.0,0.0
43185029,0.0,0.0
43204651,-30.0714371,-51.2326802
43201237,-30.0343658,-51.1204824
43206220,-30.1463368,-51.1274484
43201288,-29.9795098,-51.1968993
43201156,-30.0077609,-51.2029904
43188222,-30.1549219,-51.1414667
43191894,-30.1494496,-51.1452138
43208312,-29.9764318,-51.1971843
43208185,-30.1161468,-51.1517398
43207715,-30.1130301,-51.166786
43207707,0.0,0.0
43211399,-29.9878149,-51.1970952
43211100,-29.988499,-51.1004217
43211453,-30.1522173,-51.1346763
43211119,-29.9802828,-51.1986998
43209254,-30.0213495,-51.0940974
43190790,0.0,0.0
43211135,-29.9931935,-51.0979019
43211330,-30.0510306,-51.2109004
43211216,-30.1665004,-51.1419456
43240615,-30.1052,-51.2455313
43280005,-30.0176651,-51.2135073
43240208,-30.0421388,-51.1063106
43281001,-30.0695528,-51.1982088
43240011,-30.0234088,-51.8746199
43240607,-30.0553207,-51.1497217
43282008,-30.0080712,-51.1142777
43240429,-29.9926875,-51.1938659
43283004,-30.1588946,-51.1327706
43201296,-30.036146,-51.1198856
43187846,-30.0237311,-51.0975232
43206239,-30.0852314,-51.2309733
43282016,-30.0872609,-51.2297719
43240402,-30.1196946,-51.201672
43284000,-30.1330412,-51.1995926
43211356,0.0,0.0
43207723,-30.1481244,-51.1410318
43260004,-30.1557883,-51.1370665
43254403,-30.0482674,-51.1555676
43254209,-30.0700604,-51.1832874
43259014,-30.0098497,-51.1564877
43211666,-30.0501616,-51.1639748
43254624,-30.0679307,-51.2164041
43240410,-30.0515393,-51.1940125
43259006,0.0,0.0
43295274,-29.9882512,-51.1345219
43300170,-30.1033387,-51.2192456
43211062,0.0,0.0
43296181,-30.0173925,-51.1261082
43295282,-30.0206808,-51.1270166
43299199,-30.0673354,-51.1595448
43206247,-30.0001334,-51.1010003
43298206,-30.0010911,-51.1014116
43300146,-30.085206,-51.1159756
43298150,-30.085206,-51.1159756
43185290,-30.0088293,-51.2025341
43211348,-29.9806262,-51.1315005
43299148,-30.026365,-51.1544272
43297110,-30.0853063,-51.1154847
43300081,-30.2066819,-51.1701408
43296190,-30.046755,-51.1465118
43300120,-30.1539924,-51.1514825
43298133,-30.0297969,-51.1090545
43296130,-30.1243929,-51.2175596
43108580,-30.0231757,-51.1950563
43285007,-30.1505215,-51.1451066
43367330,-30.1591027,-51.2140756
43367348,-30.018334,-51.111371
43367356,-29.9866458,-51.2439598
43367364,-30.0326707,-51.1196823
43367372,-30.0743277,-51.2318429
