Tipo,Inep,Nome,AbreviacaoNome,Telefone
EDUCAÇÃO INFANTIL                                                                         ,43107672,EMEI JP CANTINHO AMIGO                                  ,CANTINHO                      ,32271906
EDUCAÇÃO INFANTIL                                                                         ,43107680,EMEI JP CIRANDINHA                                      ,CIRANDINHA                    ,33461600
EDUCAÇÃO INFANTIL                                                                         ,43107699,EMEI JP GIRAFINHA                                       ,GIRAFINHA                     ,32192589
EDUCAÇÃO INFANTIL                                                                         ,43107702,EMEI JP MEU AMIGUINHO                                   ,MEU AMIGUINHO                 ,32276003
EDUCAÇÃO INFANTIL                                                                         ,43107710,EMEI JP PASSARINHO DOURADO                              ,PASSARINHO DOURADO            ,33372537
EDUCAÇÃO INFANTIL                                                                         ,43108369,EMEI JP PATINHO FEIO                                    ,PATINHO FEIO                  ,33742994
EDUCAÇÃO INFANTIL                                                                         ,43107729,EMEI JP PICA-PAU AMARELO                                ,PICA-PAU                      ,32275865
EDUCAÇÃO INFANTIL                                                                         ,43173705,EMEI BAIRRO CAVALHADA                                   ,CAVALHADA                     ,32413604
EDUCAÇÃO INFANTIL                                                                         ,43173691,EMEI ÉRICO VERÍSSIMO                                    ,ÉRICO VERÍSSIMO               ,33481408
EDUCAÇÃO INFANTIL                                                                         ,43173683,EMEI JARDIM BENTO GONÇALVES                             ,BENTO GONÇALVES               ,33156120
EDUCAÇÃO INFANTIL                                                                         ,43173675,EMEI DO JARDIM SALOMONI                                 ,SALOMONI                      ,32464712
EDUCAÇÃO INFANTIL                                                                         ,43173667,EMEI DA VILA MAX GEISS                                  ,MAX GEISS                     ,33653448
EDUCAÇÃO INFANTIL                                                                         ,43173659,EMEI MARIA HELENA CAVALHEIRO GUSMÃO                     ,MARIA HELENA                  ,32464821
EDUCAÇÃO INFANTIL                                                                         ,43173640,EMEI UNIDOS DA PAINEIRA                                 ,PAINEIRA                      ,33156130
EDUCAÇÃO INFANTIL                                                                         ,43173632,EMEI VALE VERDE                                         ,VALE VERDE                    ,33862044
EDUCAÇÃO INFANTIL                                                                         ,43173624,EMEI DA VILA ELIZABETH                                  ,VILA ELIZABETH                ,33645013
EDUCAÇÃO INFANTIL                                                                         ,43173616,EMEI DA VILA FLORESTA                                   ,VILA FLORESTA                 ,33622088
